user_id,design_id,type
53644,717089,create
53644,306538,create
53644,14276591,create
53644,119056,create
53644,3454615,create
53644,1061501,create
53644,6197727,create
53644,20123771,create
53644,6261333,create
53644,16815047,create
53644,20587507,create
53644,14802735,create
53644,10835295,create
53644,6132671,create
53644,23152481,create
53644,16126399,create
53644,14811991,create
53644,216182,create
53644,20822591,create
53644,32792787,create
53644,23120299,create
53644,19478875,create
53644,31549685,create
53644,27888783,create
53644,12264075,create
53644,27326015,create
53644,17847505,create
53644,29926629,create
53644,6345791,create
53644,37737645,create
53644,35136203,create
53644,35133029,create
53644,7790131,create
53644,7149989,create
53644,912586,create
53644,13585953,create
53644,119114,create
53644,6661275,create
53644,6877249,create
53644,18424877,create
53644,6508377,create
53644,3992613,create
53644,9638243,create
53644,14053005,create
53644,1817853,create
53644,5843245,create
53644,13176477,create
53644,4445155,create
53644,6085961,create
53644,621187,create
53644,3504265,create
53644,9039835,create
53644,1856345,create
53644,24519063,create
53644,45819,create
53644,16550109,create
53644,5922319,create
53644,29193407,create
53644,20768305,create
53644,27727243,create
53644,5981337,create
53644,35133687,create
53644,24755933,create
53644,35131031,create
53644,35130045,create
53644,33124791,create
53644,32816591,create
53644,36272401,create
53644,36157461,create
53644,2558875,create
53644,27134429,create
53644,37868191,create
53644,31322415,create
53644,27730091,create
53644,42024269,create
1071431,40335971,appreciate
1071431,24479051,appreciate
1071431,28115867,appreciate
1071431,27711295,appreciate
1071431,25984383,appreciate
1071431,29226865,appreciate
1071431,27813275,appreciate
1071431,24131061,appreciate
1071431,28682673,appreciate
1071431,30872925,create
1071431,29226865,create
4281107,16940967,appreciate
4281107,12489407,create
4281107,12510419,create
4281107,12510605,create
4281107,12510675,create
4281107,12510747,create
4281107,12510813,create
4281107,12510865,create
4281107,12510933,create
4281107,12510989,create
4281107,12511049,create
4281107,12511099,create
4281107,12511157,create
4281107,12511227,create
4281107,12511297,create
4281107,12511339,create
4281107,12523157,create
4281107,12523485,create
4281107,12523873,create
4281107,12533379,create
4281107,23474465,create
4281107,28459697,create
4281107,28459887,create
4281107,28574275,create
4281107,42877271,create
4281107,43045541,create
1939259,8230983,appreciate
1939259,6308475,create
1939259,6266909,create
1939259,6267235,create
1939259,6298397,create
1939259,6295635,create
1939259,6940881,create
1939259,6735849,create
1939259,6736923,create
1939259,6736457,create
1939259,8399089,create
1939259,7089663,create
1939259,11718785,create
1939259,12730751,create
1939259,10185081,create
1939259,14283123,create
1939259,9187223,create
1939259,11716395,create
1939259,6354829,create
1939259,7581163,create
1939259,7367651,create
1939259,7369365,create
1939259,6312109,create
1939259,8815099,create
4361457,33482977,appreciate
4361457,30867625,appreciate
4361457,4249443,appreciate
4361457,19182441,appreciate
4361457,30718613,appreciate
4361457,38563675,appreciate
4361457,19204793,create
4361457,13594645,create
4361457,13054953,create
4361457,12857027,create
4361457,12852887,create
4361457,12852143,create
7131065,37961409,appreciate
7131065,34569617,appreciate
7131065,29977237,appreciate
7131065,29898127,appreciate
7131065,29842343,appreciate
7131065,19803549,create
7131065,29898127,create
7131065,30737985,create
7131065,31791107,create
7131065,42471563,create
48493007,44266219,appreciate
48493007,44140161,appreciate
48493007,44266219,create
48493007,44140161,create
10455319,36231879,appreciate
10455319,23418749,appreciate
10455319,42276667,create
10455319,41654739,create
10455319,41427509,create
10455319,40908513,create
10455319,40289005,create
